nivel,id_edicion,anio,codigo_noc,gold,silver,bronze,total,estado,motivo
EDICION,1,1896,AUS,6,0,3,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,AUT,6,2,6,14,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,SUI,2,4,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,USA,29,19,5,53,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,DEN,3,6,9,18,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,FRA,15,11,6,32,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,GBR,9,8,8,25,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,GER,73,11,6,90,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,GRE,25,47,48,120,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,1,1896,HUN,6,2,7,15,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,ARG,9,32,14,55,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,ITA,57,52,47,156,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,JPN,5,13,3,21,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,LUX,2,0,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,AUS,3,6,3,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,AUT,6,0,4,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,NED,58,69,22,149,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,NOR,10,12,2,24,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,NZL,3,0,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,PHI,0,0,3,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,POL,4,9,37,50,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,POR,0,0,18,18,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,RSA,3,0,14,17,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,SUI,37,20,9,66,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,SWE,18,23,63,104,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,TCH,5,32,6,43,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,BEL,0,3,9,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,URU,39,0,0,39,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,USA,128,63,48,239,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,YUG,3,3,24,30,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,CAN,19,15,55,89,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,CHI,0,3,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,DEN,17,13,10,40,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,EGY,5,3,2,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,ESP,9,0,0,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,EST,6,2,14,22,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,FIN,24,23,23,70,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,FRA,33,63,37,133,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,GBR,16,74,67,157,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,GER,50,38,82,170,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,HAI,0,3,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,HUN,27,31,0,58,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,IND,34,0,0,34,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,10,1928,IRL,3,0,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,AUT,0,8,4,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,NOR,12,8,10,30,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,SUI,0,0,13,13,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,SWE,4,17,2,23,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,TCH,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,BEL,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,USA,12,12,4,28,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,CAN,12,0,0,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,FIN,4,2,2,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,FRA,4,0,0,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,GBR,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,11,1928,GER,0,0,10,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,ARG,9,2,0,11,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,ITA,51,97,43,191,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,JPN,22,25,9,56,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,LAT,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,MEX,0,6,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,AUS,9,3,3,15,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,AUT,3,3,8,14,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,NED,6,30,2,38,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,NZL,0,6,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,PHI,0,0,9,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,POL,7,10,40,57,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,12,1932,RSA,6,0,9,15,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
