tipo_registro,id_edicion,anio,temporada,id_sede,sede,cantidad_participaciones,cantidad_ediciones,anios,sedes,observacion
EDITION,1,1896,Summer,1,Athina,1227,1,1896,Athina,Edición ordinaria de verano o invierno.
EDITION,2,1900,Summer,2,Paris,5690,1,1900,Paris,Edición ordinaria de verano o invierno.
EDITION,3,1904,Summer,3,St. Louis,4382,1,1904,St. Louis,Edición ordinaria de verano o invierno.
EDITION,4,1906,Intercalated Games,,,2300,1,1906,,"1906; edición histórica intercalada de Atenas, no equivalente a una edición ordinaria de la Olympiad."
EDITION,5,1906,Summer,1,Athina,3059,1,1906,Athina,Edición ordinaria de verano o invierno.
EDITION,6,1908,Summer,4,London,9559,1,1908,London,Edición ordinaria de verano o invierno.
EDITION,7,1912,Summer,5,Stockholm,12897,1,1912,Stockholm,Edición ordinaria de verano o invierno.
EDITION,8,1920,Summer,6,Antwerpen,12718,1,1920,Antwerpen,Edición ordinaria de verano o invierno.
EDITION,9,1924,Summer,2,Paris,15481,1,1924,Paris,Edición ordinaria de verano o invierno.
EDITION,10,1924,Winter,7,Chamonix,1011,1,1924,Chamonix,Edición ordinaria de verano o invierno.
EDITION,11,1928,Summer,8,Amsterdam,13887,1,1928,Amsterdam,Edición ordinaria de verano o invierno.
EDITION,12,1928,Winter,9,Sankt Moritz,1218,1,1928,Sankt Moritz,Edición ordinaria de verano o invierno.
EDITION,13,1932,Summer,10,Los Angeles,7401,1,1932,Los Angeles,Edición ordinaria de verano o invierno.
EDITION,14,1932,Winter,11,Lake Placid,900,1,1932,Lake Placid,Edición ordinaria de verano o invierno.
EDITION,15,1936,Summer,12,Berlin,18720,1,1936,Berlin,Edición ordinaria de verano o invierno.
EDITION,16,1936,Winter,13,Garmisch-Partenkirchen,1872,1,1936,Garmisch-Partenkirchen,Edición ordinaria de verano o invierno.
EDITION,17,1948,Summer,4,London,18584,1,1948,London,Edición ordinaria de verano o invierno.
EDITION,18,1948,Winter,9,Sankt Moritz,2225,1,1948,Sankt Moritz,Edición ordinaria de verano o invierno.
EDITION,19,1952,Summer,14,Helsinki,25177,1,1952,Helsinki,Edición ordinaria de verano o invierno.
EDITION,20,1952,Winter,15,Oslo,2208,1,1952,Oslo,Edición ordinaria de verano o invierno.
EDITION,21,1956,Equestrian,,,300,1,1956,,"1956; eventos ecuestres asociados a los Juegos de Melbourne 1956, celebrados en Stockholm por cuarentena; no parece una edición independiente."
EDITION,22,1956,Summer,16,Melbourne,15212,1,1956,Melbourne,Edición ordinaria de verano o invierno.
EDITION,23,1956,Winter,17,Cortina d'Ampezzo,2656,1,1956,Cortina d'Ampezzo,Edición ordinaria de verano o invierno.
EDITION,24,1960,Summer,18,Roma,24632,1,1960,Roma,Edición ordinaria de verano o invierno.
EDITION,25,1960,Winter,19,Squaw Valley,2259,1,1960,Squaw Valley,Edición ordinaria de verano o invierno.
EDITION,26,1964,Summer,20,Tokyo,23361,1,1964,Tokyo,Edición ordinaria de verano o invierno.
EDITION,27,1964,Winter,21,Innsbruck,3582,1,1964,Innsbruck,Edición ordinaria de verano o invierno.
EDITION,28,1968,Summer,22,Mexico City,26164,1,1968,Mexico City,Edición ordinaria de verano o invierno.
EDITION,29,1968,Winter,23,Grenoble,3811,1,1968,Grenoble,Edición ordinaria de verano o invierno.
EDITION,30,1972,Summer,24,Munich,31222,1,1972,Munich,Edición ordinaria de verano o invierno.
EDITION,31,1972,Winter,25,Sapporo,3333,1,1972,Sapporo,Edición ordinaria de verano o invierno.
EDITION,32,1976,Summer,26,Montreal,26231,1,1976,Montreal,Edición ordinaria de verano o invierno.
EDITION,33,1976,Winter,21,Innsbruck,3742,1,1976,Innsbruck,Edición ordinaria de verano o invierno.
EDITION,34,1980,Summer,27,Moskva,21714,1,1980,Moskva,Edición ordinaria de verano o invierno.
EDITION,35,1980,Winter,11,Lake Placid,3508,1,1980,Lake Placid,Edición ordinaria de verano o invierno.
EDITION,36,1984,Summer,10,Los Angeles,28619,1,1984,Los Angeles,Edición ordinaria de verano o invierno.
EDITION,37,1984,Winter,28,Sarajevo,4283,1,1984,Sarajevo,Edición ordinaria de verano o invierno.
EDITION,38,1988,Summer,29,Seoul,36341,1,1988,Seoul,Edición ordinaria de verano o invierno.
EDITION,39,1988,Winter,30,Calgary,5526,1,1988,Calgary,Edición ordinaria de verano o invierno.
